Total Nacional,Comunidades y Ciudades Autónomas,Provincias,Viviendas y plazas,Periodo,Total
Total Nacional,02 Aragón,44 Teruel,Viviendas turísticas,2021M02,635
Total Nacional,02 Aragón,44 Teruel,Viviendas turísticas,2020M08,654
Total Nacional,02 Aragón,50 Zaragoza,Viviendas turísticas,2025M05,"1,26"
Total Nacional,02 Aragón,50 Zaragoza,Viviendas turísticas,2024M11,"1,381"
Total Nacional,02 Aragón,50 Zaragoza,Viviendas turísticas,2024M08,"1,381"
Total Nacional,02 Aragón,50 Zaragoza,Viviendas turísticas,2024M02,"1,253"
Total Nacional,02 Aragón,50 Zaragoza,Viviendas turísticas,2023M08,993
Total Nacional,02 Aragón,50 Zaragoza,Viviendas turísticas,2023M02,996
Total Nacional,02 Aragón,50 Zaragoza,Viviendas turísticas,2022M08,921
Total Nacional,02 Aragón,50 Zaragoza,Viviendas turísticas,2022M02,854
Total Nacional,02 Aragón,50 Zaragoza,Viviendas turísticas,2021M08,911
Total Nacional,02 Aragón,50 Zaragoza,Viviendas turísticas,2021M02,919
Total Nacional,02 Aragón,50 Zaragoza,Viviendas turísticas,2020M08,980
Total Nacional,"03 Asturias, Principado de",33 Asturias,Viviendas turísticas,2025M05,"7,697"
Total Nacional,"03 Asturias, Principado de",33 Asturias,Viviendas turísticas,2024M11,"7,649"
Total Nacional,"03 Asturias, Principado de",33 Asturias,Viviendas turísticas,2024M08,"8,751"
Total Nacional,"03 Asturias, Principado de",33 Asturias,Viviendas turísticas,2024M02,"7,24"
Total Nacional,"03 Asturias, Principado de",33 Asturias,Viviendas turísticas,2023M08,"7,036"
Total Nacional,"03 Asturias, Principado de",33 Asturias,Viviendas turísticas,2023M02,"5,81"
Total Nacional,"03 Asturias, Principado de",33 Asturias,Viviendas turísticas,2022M08,"6,11"
Total Nacional,"03 Asturias, Principado de",33 Asturias,Viviendas turísticas,2022M02,"4,723"
Total Nacional,"03 Asturias, Principado de",33 Asturias,Viviendas turísticas,2021M08,"5,176"
Total Nacional,"03 Asturias, Principado de",33 Asturias,Viviendas turísticas,2021M02,"4,373"
Total Nacional,"03 Asturias, Principado de",33 Asturias,Viviendas turísticas,2020M08,"4,891"
