provincia-ccaa,2011 - Q1,2011 - Q2,2011 - Q3,2011 - Q4,2012 - Q1,2012 - Q2,2012 - Q3,2012 - Q4,2013 - Q1,2013 - Q2,2013 - Q3,2013 - Q4,2014 - Q1,2014 - Q2,2014 - Q3,2014 - Q4,2015 - Q1,2015 - Q2,2015 - Q3,2015 - Q4,2016 - Q1,2016 - Q2,2016 - Q3,2016 - Q4,2017 - Q1,2017 - Q2,2017 - Q3,2017 - Q4,2018 - Q1,2018 - Q2,2018 - Q3,2018 - Q4,2019 - Q1,2019 - Q2,2019 - Q3,2019 - Q4,2020 - Q1,2020 - Q2,2020 - Q3,2020 - Q4,2021 - Q1,2021 - Q2,2021 - Q3,2021 - Q4,2022 - Q1,2022 - Q2,2022 - Q3,2022 - Q4,2023 - Q1,2023 - Q2,2023 - Q3,2023 - Q4,2024 - Q1,2024 - Q2,2024 - Q3,2024 - Q4,2025 - Q1
Avila             ,"86,48","71,72","99,82","121,59","85,06","78,72","65,54","77,19","57,71","86,55","58,83","68,02","34,94","29,21","51,9","86,35","47,22","56,98","54,33","55,11","54,79","39,97","75,58","60,31","36,24","64,24","62,09","52,19","56,69","62,94","53,05","63,51","67,82","96,04","63,56","53,29","62,28",n.s.,"48,2","48,73","56,01","71,52","45,25","64,4","51,22","69,17","65,77","53,15","49,26","76,1","77,06","64,32","77,86","76,57",68,"64,68","69,87"
Burgos            ,"105,36","119,25","64,76","73,38","116,98","77,41","64,74","48,4","61,03","30,11","66,79","36,83","67,98","53,06","85,86","52,82","63,95","70,44","56,09","49,69","55,47","43,67","50,59","47,99","52,39","69,12","50,7","59,74","71,03","53,31","58,69","62,84","50,29","81,31","54,94","107,63","90,45","74,61","86,47","51,64","46,83","44,79","41,36","56,39","59,56","64,35","65,21","62,58","73,68","48,75","99,42",94,"43,27","103,92","72,59","76,67","69,16"
León              ,"37,97","33,79","26,4","50,82","38,89","30,46","52,33","42,46","62,15","50,94","43,5","58,45","44,76","29,89","44,72","57,11","41,5","54,23","38,68","53,77","51,94","51,69","39,54","38,27","45,01","48,51","49,39","43,17","55,75","45,91","31,4","49,48","56,12","38,46","60,33","26,73","72,68","54,74","37,23","40,08","50,7","50,3","49,59","51,72","34,1","60,77","35,43","37,79","27,67","77,22","47,1","29,48","51,69","48,13","52,62","39,93","53,55"
Palencia          ,"99,75","78,12","69,46","65,04","41,33","73,14","37,72","62,09","73,88","76,44","48,04","69,02","52,26","49,46","30,11","49,06","55,98","34,09","38,24","56,18","52,24","37,74","69,43","22,78","47,65","75,17","45,09","57,4","54,34","50,62","59,79","50,1","57,55","68,33","71,71","89,39","42,55","45,11","47,32","50,94","73,85","62,54","38,78","59,97","54,4","66,98","47,94","67,12","55,34","37,51","39,67","61,14","59,5","49,6","40,43","50,84","76,59"
Salamanca         ,"110,22","129,68","111,01","119,56","91,98","76,98","88,12","72,56","66,08","86,91","76,12","68,26","85,58","79,29","53,62","53,57","66,6","64,22","48,84","75,32","54,64","70,08","48,19","59,01","58,37","63,89","65,65","52,98","63,03","62,06","71,4","52,33","64,24","80,83","76,82","71,52","77,03","93,37","51,39","50,8","52,21","65,04","64,55","79,07","73,31","74,07","80,16","100,67","64,4","79,42","83,4","87,91","108,71","82,08","108,73","109,54","57,15"
Segovia           ,"61,87","91,36","94,8","96,83","64,84","108,23","33,76","62,98","63,25","63,04","38,41","58,64","53,46","82,76","77,74","58,95","67,47","76,42","54,79","61,09","54,43","73,7","62,58","58,58","70,55","73,97","84,54","50,71","67,86","81,84","60,91","66,93","69,41","98,27","64,46",77,"68,65","73,66","60,96","69,26","62,54","58,75","79,51","71,38","71,71","72,43","85,63","75,54","66,52","86,01","64,76","86,98","102,99","96,58","81,14","95,81","82,67"
Soria             ,"70,44","61,36","88,85","54,49","44,2","135,25","38,77","36,44","83,02","60,21","53,27","70,84","85,36","83,94","88,92","48,15","69,81","47,09","43,39","45,31","75,41","61,2","38,32","53,31","55,9","71,5","78,89","53,34","58,67","63,23","50,38","58,29","53,47","53,97","46,08","40,27","72,68",n.s.,"55,01","80,9","51,38","56,38","95,44","81,56","90,42","67,54","65,18","90,26","50,79","46,36","84,68","77,11","132,83","100,6","83,34","73,46","77,92"
Valladolid        ,"144,25","123,61","134,94","108,69","129,23","171,82",98,"86,86","191,4","64,45","70,56","87,38","90,51","119,39","65,51","110,54","127,63","89,09","89,32","86,85","80,03","96,23","85,45","86,58","115,63","123,99","99,83",96,"127,35","126,08","85,31","90,21","119,93","102,76","95,65","97,72","82,08","105,31","69,95","67,89","74,91","97,1","76,71","72,09","91,18","102,21","100,14","143,12",105,"90,29","104,02","111,41","143,87","115,9","71,25","137,1","43,83"
Zamora            ,"91,63","78,41","57,35","39,99","34,39","54,64","35,39","67,72","43,44","65,81","49,72","60,22","28,15","81,15","40,02","51,05","38,8","43,87","62,31","22,8","47,51","50,35","32,22","27,3","51,06","32,34","66,94","37,04","51,52","43,41","51,63","47,13","41,97","61,1","49,92","77,15","57,45","79,98","38,33","52,02","40,47","64,95","43,53","53,91","50,89","40,06","63,56","49,06","78,27","61,03","27,35","112,4","77,92","107,35","67,41","48,38","74,64"
Castilla-La Mancha,"223,01","147,84","138,45","127,4","162,98","146,41","105,32","132,6","111,65","136,34","99,96","81,79","63,83","87,59","83,38","93,32","94,8","94,74","89,01","91,68","96,79","93,73","95,95","96,67","94,9","94,5","101,49","89,39","94,77","95,71","84,62","77,58","89,91","96,08","84,95","100,59","87,92","84,97","81,86","94,2","69,47","114,45","85,46","84,76","93,98","91,74","99,28","100,12","77,69","89,35","93,39","91,82","105,3","100,39","103,65","109,48","117,3"
