provincia-ccaa,2011 - Q1,2011 - Q2,2011 - Q3,2011 - Q4,2012 - Q1,2012 - Q2,2012 - Q3,2012 - Q4,2013 - Q1,2013 - Q2,2013 - Q3,2013 - Q4,2014 - Q1,2014 - Q2,2014 - Q3,2014 - Q4,2015 - Q1,2015 - Q2,2015 - Q3,2015 - Q4,2016 - Q1,2016 - Q2,2016 - Q3,2016 - Q4,2017 - Q1,2017 - Q2,2017 - Q3,2017 - Q4,2018 - Q1,2018 - Q2,2018 - Q3,2018 - Q4,2019 - Q1,2019 - Q2,2019 - Q3,2019 - Q4,2020 - Q1,2020 - Q2,2020 - Q3,2020 - Q4,2021 - Q1,2021 - Q2,2021 - Q3,2021 - Q4,2022 - Q1,2022 - Q2,2022 - Q3,2022 - Q4,2023 - Q1,2023 - Q2,2023 - Q3,2023 - Q4,2024 - Q1,2024 - Q2,2024 - Q3,2024 - Q4,2025 - Q1
Gipuzkoa,"2829,4","2762,8","2784,2","2734,7","2775,7","2742,4","2805,5","2721,3",2724,"2732,2","2754,1","2726,6","2710,2","2737,3","2742,8","2701,7","2666,8","2709,3","2682,6","2650,4","2566,3","2654,7","2634,6",2603,"2653,5","2686,2","2640,7","2666,6","2607,4","2685,2","2609,2","2679,5","2670,3","2667,4","2721,1","2697,4","2707,5","2668,5","2655,3","2698,9","2735,2","2751,2","2735,5","2765,9","2819,6","2797,6","2843,4","2875,8","2937,7","2869,6","2854,1","2902,8","2944,8","2993,3","2916,3","2986,3","3093,5"
Girona,"1916,1","1845,2","1891,3","1851,6","1777,5","1706,4","1655,2","1625,4","1560,4","1493,3","1494,8",1450,"1435,5","1442,3","1426,3","1439,7","1422,9","1452,2","1461,4","1492,4","1471,2","1465,5","1457,9","1492,7","1509,6","1493,2",1504,"1523,6",1518,"1492,4","1483,1","1533,2","1533,2","1525,3","1522,3","1550,6","1548,1","1500,7","1536,1","1534,9","1527,8","1580,7","1584,8","1639,4","1689,6",1686,"1667,4","1671,4","1724,9","1751,5","1762,8","1775,9","1800,8","1833,6","1828,1","1886,9","1943,3"
Granada           ,"1297,4","1290,9","1310,3",1288,"1227,5","1239,8",1189,"1148,6","1179,6","1164,3","1137,5","1123,9","1104,2","1087,2","1068,9","1073,1","1065,1","1072,9","1059,9","1076,9","1082,3","1082,3","1070,1","1089,9","1050,7","1083,9","1054,6","1084,4",1094,"1094,6","1100,5","1124,4","1119,7","1126,8","1116,3","1114,7","1108,2","1101,4","1107,9","1117,8","1128,2","1114,5","1130,6","1165,5","1200,4","1209,9","1197,2","1229,5","1225,3","1243,7","1253,3","1281,1","1285,3",1322,"1343,5","1389,2","1422,7"
Guadalajara       ,1535,"1444,4","1412,8","1415,6",1383,"1319,7","1262,4","1276,6","1228,1","1167,9","1130,5","1085,3","1074,8","1083,2","1061,7","1038,8","1017,1","1007,4","1025,7",1024,"989,7","1021,9","1027,1","1017,1","1044,5","1046,7","1058,5","1063,6","1080,1","1065,2","1083,9",1094,"1111,3","1099,3",1116,"1124,6","1115,5","1089,7","1116,4",1132,"1108,7","1117,8","1143,7","1137,3","1176,2","1191,8","1230,4","1239,7","1254,6","1275,6","1285,4","1280,1","1311,7","1342,3",1370,"1412,2","1459,8"
Huelva            ,"1454,3","1423,8","1412,6","1360,3","1353,5",1363,"1303,2","1252,4",1284,"1228,8","1167,6","1123,2","1118,6","1105,3","1109,3","1089,3","1059,2","1082,1","1080,5","1098,5","1052,3","1073,7","1065,4","1033,7","1041,6","1058,5","1044,9","1079,9","1049,5","1066,9",1061,"1093,6","1083,4","1072,8","1097,3","1102,7","1080,2","1039,4","1065,4","1076,6","1084,5","1104,7","1119,8",1162,"1173,4","1137,3","1162,4","1200,2",1199,"1198,2","1199,2","1237,4","1271,8","1266,3","1258,2","1301,6","1331,7"
Huesca            ,"1524,8",n.r,n.r,"1386,9","1421,6","1454,3",1399,n.r,"1246,7","1200,6","1254,6","1200,7",1176,"1171,2",1143,"1158,4","1156,6","1207,9","1160,6","1180,9","1130,1","1121,9","1144,9","1113,2","1135,7","1125,5","1118,5","1142,9","1125,7",1104,"1134,4","1166,5","1139,7","1158,4","1172,4","1168,7","1141,4",1122,"1140,3","1152,9","1125,1","1145,6","1174,3","1168,5","1189,3","1191,9","1161,7","1185,3","1156,4","1185,1","1166,1","1205,5","1195,8","1238,8","1228,6","1269,6","1286,2"
Jaén              ,"1042,5","1035,2","1026,9","1020,7","966,6","920,2","919,3","882,5","865,7","870,9","862,2","826,8","809,3","801,8","793,6","786,1","809,4","829,5",822,"807,2","821,4","813,3","831,7",830,809,"806,2","817,5","812,4","798,6","813,5","803,6","820,6","809,9",785,"800,3","801,5","794,4","786,3","773,9","789,1","765,5","777,1",786,"781,6","796,4","798,9","787,5","793,3","798,2","803,8","797,1","789,1","797,3","813,7","802,5","813,9","825,8"
León              ,"1106,3","1132,9","1110,2",1114,1046,1046,"1014,5","972,9","976,7",965,"914,8","932,2","913,6","893,8","877,4",887,"846,5","872,8","892,6",908,"911,2","880,4","911,1","905,9",896,"887,5","868,3","870,5","891,2","875,1","860,3","875,3","885,9","852,3","865,7","874,4","865,4","857,4","867,8","849,5","854,6","837,6","860,4","849,7","874,5","867,1","870,5","873,9","871,5","886,6","871,5","889,8","904,3","881,2","908,8","914,8","937,5"
Lleida,"1250,4","1231,6","1266,1","1278,3","1220,8","1167,1","1122,8","1098,1","1050,9","1000,5","984,5","1021,9","985,5","974,1","987,8","978,2","1008,5","1015,9","996,8","1034,4","1025,6","1025,9","1009,4","1023,6","1021,9","1008,2","1029,1","1044,9","1033,9","1059,3","1023,5","1058,1","1023,8","1000,9","1023,5","1028,5","995,6",996,"987,3","973,9",999,"1028,4","995,1","1036,7","1065,1","1057,9",1032,"1057,7","1078,2","1055,644036","1071,644452","1099,727593","1118,536357","1127,177066","1106,559898","1145,195296","1189,6"
Lugo,"1043,6",1101,"1054,8","1048,5","988,6","966,9","890,5","874,5",906,"912,3","874,9","844,3","813,8","812,2","820,7",810,"815,8","849,1","825,3","827,4","851,7","877,7","856,5","840,6","835,7","852,5",856,"860,7","871,2","876,1","891,8","859,6","832,5","850,3","870,8","844,9",840,"838,3","854,2","869,9",854,876,"880,7",892,"887,3","911,5","900,6","881,7","915,5","928,3","961,9","948,4","970,9","955,9","986,9","996,4","1027,7"
